id,service_id,branch_id,time_taken,request_time,rating
1,3,92,7,Day-Off-Peak,4
2,1,43,2,Day-Off-Peak,4
3,2,63,13,Day-Peak,4
4,3,89,7,Day-Peak,5
5,4,100,9,Day-Peak,4
6,2,69,12,Day-Peak,5
7,2,53,14,Night,3
8,3,34,7,Night,5
9,3,9,7,Night,4
10,1,33,2,Day-Off-Peak,5
11,3,10,7,Day-Off-Peak,5
12,4,78,10,Day-Peak,3
13,3,91,8,Night,4
14,2,78,13,Night,4
15,2,77,12,Day-Peak,4
16,3,80,6,Day-Peak,4
17,4,98,9,Day-Peak,5
18,1,44,5,Day-Off-Peak,4
19,2,57,14,Night,3
20,3,63,7,Day-Peak,4
21,1,1,2,Night,4
22,3,23,7,Night,5
23,1,5,2,Night,4
24,2,35,15,Night,3
25,4,97,9,Day-Peak,4
26,1,26,1,Night,5
27,2,34,14,Day-Peak,4
28,3,61,7,Night,5
29,3,19,7,Night,5
30,1,19,1,Night,5
31,2,28,14,Day-Peak,4
32,1,18,4,Night,4
33,3,62,7,Day-Peak,5
34,2,99,14,Day-Off-Peak,3
35,2,60,13,Day-Off-Peak,4
36,1,32,2,Day-Peak,5
37,1,21,2,Night,4
38,1,1,2,Day-Off-Peak,4
39,3,38,7,Night,4
40,1,20,2,Night,4
41,1,26,2,Night,5
42,3,83,8,Night,3
43,2,32,14,Night,4
44,2,30,13,Day-Peak,5
45,4,54,9,Day-Peak,5
46,3,67,7,Night,4
47,4,95,8,Day-Off-Peak,4
48,3,93,7,Night,4
49,1,19,2,Day-Peak,5
50,1,19,3,Day-Peak,4
51,1,21,1,Day-Peak,4
52,3,89,7,Night,5
53,3,99,7,Day-Peak,4
54,4,91,10,Night,4
55,2,69,12,Day-Peak,5
56,3,82,7,Day-Peak,5
57,1,3,2,Day-Off-Peak,5
58,4,59,9,Day-Peak,5
59,2,39,13,Day-Off-Peak,4
60,3,29,8,Day-Off-Peak,4
61,3,81,7,Night,4
62,1,71,2,Day-Off-Peak,5
63,1,70,4,Day-Off-Peak,4
64,4,88,8,Day-Peak,4
65,3,52,7,Night,4
66,1,23,2,Day-Off-Peak,5
67,1,94,2,Night,5
68,3,77,8,Night,3
69,1,45,2,Day-Off-Peak,4
70,1,15,5,Night,3
71,3,16,7,Day-Off-Peak,4
72,1,58,1,Night,5
73,3,79,7,Day-Off-Peak,5
74,3,72,7,Day-Peak,5
75,1,25,1,Day-Off-Peak,5
76,1,11,2,Day-Peak,4
77,3,95,7,Night,4
78,4,62,10,Night,4
79,1,19,2,Day-Off-Peak,5
80,4,96,9,Night,4
81,3,17,7,Day-Peak,4
82,3,37,6,Day-Peak,5
83,1,30,2,Day-Peak,5
84,1,13,2,Night,5
85,3,58,6,Day-Peak,5
86,1,19,3,Day-Peak,4
87,1,14,1,Night,4
88,2,22,14,Day-Peak,4
89,3,90,6,Day-Peak,5
90,1,9,2,Day-Peak,4
91,2,68,12,Night,5
92,1,34,1,Day-Off-Peak,5
93,3,78,9,Day-Off-Peak,3
94,4,82,9,Day-Off-Peak,5
95,3,60,7,Day-Peak,4
96,4,92,9,Day-Peak,4
97,1,39,2,Day-Peak,4
98,1,13,2,Night,5
